Sample ID,Oxygen Concentration (O2 %),Carbon Dioxide Concentration (CO2 %),Nitrogen Concentration (N2 %),Humidity (%),Temperature (°C),Packaging Type,Storage Time (days)
1,7.927888484,39.42418848,37.42671776,59.98021462,21.89994933,Metal,324
2,19.969929,47.39622237,33.35791841,74.80480635,5.535359868,Metal,267
3,15.39867338,85.46928458,17.69777586,63.76000684,10.39919083,Paper,82
4,12.61196232,34.06643817,60.76594034,34.99815499,19.89841911,Plastic,64
5,3.360789585,86.97800351,47.71475363,41.13481421,14.46268034,Glass,119
6,3.360285475,8.904629655,86.58352913,43.15969104,22.15713116,Glass,341
7,1.313947494,77.70216388,3.30774709,45.47185522,28.83623704,Paper,313
8,18.20308145,84.77000854,64.42240596,63.92420352,3.496400631,Paper,163
9,12.66330375,18.26358352,76.31859296,60.23794679,21.28703149,Glass,293
10,14.89871688,43.09161858,75.97270826,42.1896023,6.910324669,Glass,178
11,0.530215931,16.63342749,88.61878931,34.05329061,12.43430182,Plastic,30
12,20.37111591,70.68975249,72.93047091,40.28593227,0.985881774,Paper,161
13,17.49805119,53.58124203,92.78822516,89.06287876,4.077221469,Plastic,3
14,4.537887413,63.56880234,33.33239432,58.11281699,9.593318671,Paper,24
15,3.900141815,19.729048,50.37062073,82.04073028,10.25957416,Paper,59
16,3.933154256,21.25341162,1.506558362,80.925148,26.98755649,Plastic,237
17,6.458662878,4.245582818,0.795062972,60.69117345,22.25438728,Metal,240
18,11.06740942,32.27454677,24.08864938,72.40126251,29.16548905,Metal,311
19,9.12765089,56.01849167,10.17063899,41.56512062,17.97214531,Metal,321
20,6.18668903,85.80769791,26.09511566,71.3038023,7.251411963,Paper,160
21,12.8877255,66.726052,17.78662512,46.34307476,9.829650898,Plastic,60
22,3.015421688,43.59609271,2.949150481,79.92372581,9.595077699,Metal,240
23,6.205823154,95.31669943,90.93948423,35.02344799,9.79482983,Glass,322
24,7.756962525,71.95259554,0.921490826,76.38832037,20.18892519,Metal,59
25,9.63186267,93.02350377,73.63460622,35.99621439,15.92423784,Plastic,53
26,16.51017759,52.80603853,15.2995739,82.87135421,11.56272534,Paper,64
27,4.273182047,25.96453705,91.23173924,48.25227109,4.472693062,Plastic,121
28,10.84749976,5.377385968,89.29031437,69.26360189,0.664174888,Paper,119
29,12.48146449,72.63587666,65.42472452,59.25013672,6.565040328,Plastic,286
30,1.070813626,12.2181695,67.25619157,51.97818872,3.224142119,Plastic,18
31,12.7976874,30.34723531,0.633380283,68.72650999,23.56335093,Glass,5
32,3.663954185,53.2938437,98.48866945,86.85137883,3.374938734,Metal,325
33,1.459578293,56.48521712,87.7954771,32.47618484,21.72684712,Metal,160
34,19.93170773,60.09826138,89.52111195,85.13117135,11.56976069,Plastic,142
35,20.28170949,16.7089075,65.95852925,66.5448993,2.201351692,Metal,18
36,16.99550458,38.03576674,34.54421417,78.43885805,24.38190148,Glass,68
37,6.466427776,61.75770329,89.37550004,53.03249721,17.38891711,Plastic,114
38,2.141347183,96.98490458,29.22254112,58.31057849,7.072845386,Metal,22
39,14.40047025,72.79035066,56.31488318,82.13104511,26.84043523,Metal,20
40,9.299187119,92.26811533,10.06312414,54.89087819,1.357749416,Paper,263
41,2.650599108,76.24498463,92.20336745,62.079574,6.054588246,Metal,98
42,10.44919742,59.21252519,14.16296873,31.21169539,22.56140783,Metal,105
43,0.818720091,19.28313458,22.56719089,39.51588035,21.28133791,Paper,286
44,19.1047964,66.70189662,55.8576024,68.50119048,8.678150812,Plastic,5
45,5.508501615,62.37561864,76.43289072,73.01861406,1.860746261,Plastic,129
46,13.94671574,60.28667013,61.97319546,64.95605621,25.74234217,Glass,159
