Sample ID,Solvent Type,Temperature (°C),Casting Speed (m/min),Pressure (bar),Solvent Concentration (%),Additives (Type),PLA Yield (%),Quality Classification
1,Dichloromethane,213.1007569,2.942951596,25.1678692,3.924390786,Plasticizer,85.92370839,Low
2,Toluene,210.5811118,4.248021177,5.413486232,4.192197552,Stabilizer,85.6075373,Low
3,Acetone,202.9411581,1.062900094,9.670197455,9.365903486,Stabilizer,91.04191951,High
4,Dichloromethane,218.2418857,1.084023346,21.37263255,2.61391611,None,94.66116322,High
5,Dichloromethane,188.0189806,3.005682621,14.3939837,6.876486575,Stabilizer,90.02721309,High
6,Toluene,184.3705684,4.75870394,29.56206628,7.453887617,Plasticizer,85.51515226,Low
7,Acetone,214.1584787,2.367489913,21.63511982,6.044333787,None,87.21218656,High
8,Acetone,197.5659927,1.971239451,28.91372272,7.553855031,Fillers,87.44792906,High
9,Dichloromethane,213.8787542,3.230101954,10.03616204,3.382037168,Fillers,88.37857129,High
10,Ethyl Acetate,215.7236082,4.687018702,26.5989257,8.821057862,None,85.43603384,Low
11,Dichloromethane,182.4983037,4.266175248,13.03380765,3.120205516,Stabilizer,94.048927,High
12,Dichloromethane,215.3385905,4.979676248,29.73912021,5.206499555,None,90.15563945,High
13,Dichloromethane,197.9327622,0.601558624,8.942216802,2.60206081,None,91.70930793,High
14,Dichloromethane,200.4172996,1.007861651,17.90849547,6.361688631,Stabilizer,85.67172837,Low
15,Toluene,205.0637004,3.242604935,24.82111335,7.357966459,Fillers,85.54115468,Low
16,Acetone,217.0553043,4.192593977,15.81606202,9.529773081,None,90.86467772,High
17,Toluene,180.7646438,1.78359954,16.7021015,7.914689567,Fillers,93.87296011,High
18,Toluene,199.0737387,1.576449896,29.65889489,6.328823332,Plasticizer,90.28482001,High
19,Toluene,207.5088817,4.041391097,15.63270376,9.460936137,Stabilizer,93.77819173,High
20,Dichloromethane,208.9082783,0.753718342,20.10180251,5.827494704,Plasticizer,93.10991273,High
21,Ethyl Acetate,207.7012973,2.162221914,6.363491517,6.489645225,Fillers,85.75853786,Low
22,Acetone,185.3774052,2.776141502,26.05525201,6.768788221,Plasticizer,87.01957474,High
23,Ethyl Acetate,191.9758235,3.021569035,21.20420122,5.279837807,Plasticizer,91.57710669,High
24,Toluene,194.348621,3.778768206,15.10050257,8.707861525,Plasticizer,89.43501383,High
25,Toluene,212.1774883,2.096805755,5.404238499,3.481407511,None,87.90699814,High
26,Ethyl Acetate,191.1503949,3.257079551,19.79172051,6.438737523,None,89.18633856,High
27,Ethyl Acetate,188.4281986,3.134189403,5.316445712,7.777866049,Stabilizer,89.45199646,High
28,Ethyl Acetate,218.2979208,2.964272453,5.030090348,9.231809375,Fillers,94.10552251,High
29,Toluene,180.3545314,3.382174819,20.40246405,9.071347171,Fillers,86.03458284,Low
30,Toluene,219.9128342,1.66752127,9.725426683,6.069922315,Stabilizer,87.79730747,High
31,Acetone,207.072852,0.880919391,9.797188743,7.145291609,Fillers,90.37564817,High
32,Acetone,213.138772,1.036722524,21.33178915,5.153901889,Fillers,91.98286927,High
33,Toluene,191.7847759,1.510620722,6.342429698,5.745422103,Plasticizer,91.30637289,High
34,Ethyl Acetate,180.5726111,2.75089071,12.83513904,9.250126341,Plasticizer,94.41642738,High
35,Ethyl Acetate,209.5147807,4.281992377,8.735797554,9.445631946,Fillers,92.95608925,High
36,Acetone,213.3657839,3.655820039,19.50440924,9.163312465,Stabilizer,90.57076842,High
37,Toluene,209.6190453,4.050682719,21.54412887,3.106966895,Stabilizer,87.14682692,High
38,Acetone,185.7140115,2.079390308,23.02839634,8.800672171,Fillers,89.50874231,High
39,Acetone,210.1371169,2.320941837,11.38078042,9.586909848,Stabilizer,91.93382244,High
40,Dichloromethane,210.7569113,2.271568487,7.231243791,4.889997557,Stabilizer,93.37962175,High
41,Dichloromethane,206.3416206,1.36342933,6.967091424,6.149170315,Plasticizer,94.59736224,High
42,Dichloromethane,210.6446373,0.775474962,15.65378871,8.232762047,Stabilizer,91.05452766,High
43,Ethyl Acetate,213.8368576,3.159122418,28.64611023,6.496625101,None,90.26919367,High
44,Toluene,204.5441646,4.951475075,10.44322586,9.947868174,Plasticizer,85.17691923,Low
45,Toluene,183.5441886,1.250733672,11.41854003,5.645706921,None,85.72099069,Low
46,Toluene,199.5051124,0.71008169,7.522220053,7.71154169,Fillers,86.56104998,Low
47,Toluene,183.1059734,4.007892568,20.13925685,8.340729122,Stabilizer,85.54759931,Low
48,Dichloromethane,196.3017212,1.63663703,21.99682185,5.952803326,None,89.00863239,High
49,Ethyl Acetate,196.2842596,4.233397124,21.0732802,8.855870446,Stabilizer,88.36878545,High
50,Ethyl Acetate,182.6403938,3.667715002,26.52825608,6.36923673,None,91.37354158,High
51,Dichloromethane,193.9528214,4.755530917,17.16064588,5.293206374,Plasticizer,90.35665108,High
52,Ethyl Acetate,184.439924,2.340172561,8.361426019,2.862589391,Fillers,90.95970759,High
53,Dichloromethane,212.3294084,3.478864278,12.23512827,5.147308611,None,89.71977203,High
54,Toluene,217.907521,2.591846514,21.56074934,7.871491638,Plasticizer,87.77737149,High
55,Dichloromethane,182.892659,3.337649138,20.32804934,9.370291293,Fillers,94.52825315,High
56,Toluene,218.2046083,2.523195077,18.27507824,4.013435231,None,85.8640916,Low
57,Toluene,200.903064,1.348845109,22.07411047,4.841884139,None,94.38890999,High
58,Acetone,191.9826271,2.785538372,20.93477126,3.231687953,Plasticizer,88.11238047,High
59,Dichloromethane,183.074483,2.878628906,27.03312224,7.525783154,Fillers,90.12661445,High
60,Acetone,200.0249707,4.147717317,19.65040944,9.68150744,Fillers,86.08842323,Low
61,Dichloromethane,211.7806218,3.809843176,24.46503397,7.127617759,Plasticizer,85.70931068,Low
62,Dichloromethane,208.2834591,3.487062308,11.2176789,6.93661224,Stabilizer,89.29545449,High
63,Acetone,182.0090405,1.01024193,21.95456461,6.427919444,Plasticizer,92.41697376,High
64,Acetone,182.9160734,3.742773308,27.55485296,2.707645925,Fillers,87.69364778,High
65,Dichloromethane,196.1149313,2.751373204,14.6433082,7.836030611,Plasticizer,90.62347889,High
66,Ethyl Acetate,191.8116198,4.523447912,24.47760468,6.816396348,Stabilizer,87.78650341,High
67,Toluene,189.2953729,4.639419204,23.11973253,7.291814151,Plasticizer,88.88613061,High
68,Acetone,191.24018,0.748204658,6.488154922,9.190488744,Plasticizer,94.06446318,High
69,Toluene,212.1393097,4.192887022,19.53770774,8.271686296,None,93.55839625,High
70,Ethyl Acetate,217.1691221,0.669638257,8.25473373,8.247322017,Stabilizer,90.16017543,High
71,Ethyl Acetate,196.2041078,2.152263316,29.18297931,9.417470151,Fillers,87.38105627,High
72,Ethyl Acetate,216.2444401,2.94034989,25.28518757,9.919479612,Stabilizer,86.93183913,Low
73,Acetone,192.859828,1.166453594,7.743095031,6.650261856,Fillers,94.54087353,High
74,Ethyl Acetate,199.0574795,3.858412157,8.043799941,2.871052928,Fillers,87.02716597,High
75,Acetone,189.0411599,0.537596169,19.86184637,5.673039262,None,93.08168311,High
76,Ethyl Acetate,205.6190417,1.258695718,13.62222935,8.300809172,Stabilizer,88.6897021,High
77,Toluene,219.1592446,3.113585734,5.872646477,2.221802598,None,94.85659848,High
78,Toluene,204.1397238,3.714744029,18.5410377,2.455099507,Plasticizer,88.6815574,High
79,Dichloromethane,194.3125634,4.624893962,14.69612749,2.537262259,Stabilizer,88.51516625,High
80,Toluene,205.9126978,3.674734934,7.526912309,7.848286067,Plasticizer,91.37463629,High
81,Dichloromethane,184.9168271,3.523006716,25.04800981,6.009333029,Stabilizer,94.61516807,High
82,Toluene,215.5463632,2.274535159,27.87691913,4.951183548,Fillers,94.76209606,High
83,Acetone,200.123358,0.505779915,23.91484835,2.844936362,Plasticizer,92.07206146,High
84,Toluene,197.9739897,1.040716664,25.56055775,7.857922002,Stabilizer,92.54606366,High
85,Dichloromethane,203.4345915,2.905495451,10.41226418,4.568158484,Stabilizer,90.63402176,High
86,Dichloromethane,204.9913545,3.538084486,11.58932377,4.122592561,Plasticizer,92.55775739,High
87,Ethyl Acetate,182.8710322,2.378517278,10.21318851,7.218553612,None,93.59779655,High
88,Acetone,207.3046888,3.788055552,24.12658578,6.472087141,Stabilizer,89.86095303,High
89,Toluene,189.6772672,2.848380329,28.69792697,4.899285135,None,91.19862263,High
90,Ethyl Acetate,208.5581053,0.83379288,22.92093017,7.131899766,None,90.37316695,High
91,Toluene,212.9013918,1.364073129,27.03666912,4.169772163,None,90.62470614,High
92,Toluene,212.1583403,4.279992005,20.96747737,8.358642093,None,93.9004791,High
93,Ethyl Acetate,202.1000387,3.76210736,14.69149751,3.834551602,None,88.5561683,High
94,Ethyl Acetate,200.8067957,4.526428942,15.64404037,3.270701563,Fillers,87.08184026,High
95,Ethyl Acetate,185.7150385,1.029007621,6.883035804,8.259515276,None,89.5628011,High
96,Ethyl Acetate,211.013846,4.956001406,5.786429881,7.663136246,Fillers,87.0808519,High
97,Ethyl Acetate,190.8563752,1.442330213,22.3868901,3.461111806,Stabilizer,89.98400426,High
98,Toluene,199.8678169,0.553009443,15.9607223,2.929966022,Fillers,94.03508105,High
99,Ethyl Acetate,191.3709637,4.988403226,18.8053767,8.707192708,Fillers,91.1743352,High
100,Acetone,185.3531345,1.764832485,18.94153119,8.212787858,None,93.55432853,High
101,Dichloromethane,205.1823079,3.506087536,11.93439533,4.61805899,Stabilizer,86.6619092,Low
102,Ethyl Acetate,182.1732814,1.295070414,16.89731277,7.265579266,Stabilizer,94.00873593,High
103,Ethyl Acetate,209.9458094,3.111028395,16.76900554,2.993281492,Stabilizer,91.01787164,High
104,Toluene,192.7034718,4.568157439,14.71068053,6.056381272,Plasticizer,85.31759789,Low
105,Ethyl Acetate,180.0053877,1.940815253,25.51688459,2.149842336,Fillers,91.33118955,High
106,Ethyl Acetate,200.4451656,3.516142892,16.27910009,5.132815047,None,94.51396956,High
107,Ethyl Acetate,181.8740763,1.34556615,20.09111311,2.598742572,Plasticizer,85.79167,Low
108,Toluene,191.0467823,3.311579294,27.38800301,5.801177441,None,90.8245613,High
109,Ethyl Acetate,208.2790595,2.014026583,26.65584057,5.373453175,Plasticizer,94.15478603,High
110,Dichloromethane,182.5075849,1.450437164,27.26055509,5.555080213,Stabilizer,85.09695168,Low
111,Toluene,213.5735397,1.909319228,11.75012491,2.362650416,Plasticizer,91.30912926,High
112,Dichloromethane,180.1527969,1.304784808,5.874562208,4.89293073,Stabilizer,89.74902292,High
113,Toluene,189.8729548,4.558622485,11.52667,8.051870793,Plasticizer,88.46989319,High
114,Ethyl Acetate,209.6361622,2.287340988,11.96768364,4.951314987,None,91.2753649,High
115,Dichloromethane,192.650806,1.603756872,27.73400817,7.721375621,None,85.52702095,Low
116,Toluene,184.0756955,2.517835285,21.23106832,4.955829789,Plasticizer,92.53063046,High
117,Acetone,194.4093568,1.942412751,7.04259899,5.385915532,Fillers,85.04479477,Low
118,Ethyl Acetate,190.8157315,3.849886642,8.3844649,6.511136903,Fillers,88.06935744,High
119,Toluene,213.7084761,4.870489603,8.891903139,9.605455494,Plasticizer,90.03958638,High
120,Acetone,192.5339167,2.471151455,20.7605437,2.870883573,Fillers,88.77022251,High
121,Toluene,211.5572989,4.3746503,23.38535064,2.263310149,None,88.07475935,High
122,Acetone,215.6748858,3.046383831,26.49109776,6.86365747,Fillers,93.30835145,High
123,Ethyl Acetate,197.3526968,1.207560493,28.51591377,9.592776711,Plasticizer,94.34832574,High
124,Dichloromethane,216.3977258,3.607802339,10.04261393,9.91778506,Fillers,93.73712685,High
125,Acetone,195.0927222,2.810455237,12.74431212,5.873313979,Plasticizer,90.22431313,High
126,Toluene,218.5631367,3.427729355,11.00807202,5.744652969,None,93.84164175,High
127,Ethyl Acetate,183.571581,4.503593357,13.96903919,7.159710166,Stabilizer,94.20861565,High
128,Acetone,207.4807707,2.481955568,27.86662769,6.445078058,None,89.09238397,High
129,Toluene,199.7525616,4.555299304,19.37781417,7.072704461,None,87.8344586,High
130,Toluene,195.5059522,3.878010564,23.45479743,8.991995404,Plasticizer,85.98265206,Low
131,Toluene,205.3084751,2.698722166,17.2529809,7.970449356,None,89.79091921,High
132,Acetone,208.1542837,3.21449961,5.721447833,5.975019133,None,94.4629692,High
133,Acetone,180.1745308,1.965115096,6.60488715,5.694915672,Fillers,90.60907528,High
134,Acetone,186.6781235,4.926187849,18.44807578,7.116813988,Plasticizer,91.67562102,High
135,Dichloromethane,208.521842,3.503080234,22.96972587,5.645650275,Fillers,86.12883818,Low
136,Acetone,206.6554165,0.697310836,10.38326319,5.66223481,Plasticizer,86.43519664,Low
137,Acetone,218.6419002,1.969798576,23.04773935,2.130447214,Fillers,89.64473262,High
138,Acetone,210.4415116,3.304914952,25.26664434,3.392513099,Fillers,94.51264799,High
139,Dichloromethane,218.0309083,0.75349975,15.29743696,5.90810912,Stabilizer,88.60784642,High
140,Acetone,208.1016201,0.607478861,23.66048082,8.581227672,None,93.77484041,High
141,Toluene,191.9220883,2.525109078,15.10074876,4.229816054,Fillers,86.20288593,Low
142,Acetone,184.2145969,1.997105809,21.95876574,6.181147465,Stabilizer,91.17017207,High
143,Toluene,211.2729545,2.472343736,24.09992623,4.759696678,Fillers,91.00612977,High
144,Toluene,205.7659689,1.682119894,29.79816546,2.838431916,Fillers,93.5987475,High
145,Toluene,181.9274405,1.241229861,13.63491655,9.666387865,Stabilizer,85.03316704,Low
146,Dichloromethane,194.4020186,3.601145106,15.27601951,8.837390962,Stabilizer,86.89931667,Low
147,Dichloromethane,218.2719926,2.815570023,9.140501485,2.627939396,Stabilizer,87.19687625,High
148,Dichloromethane,200.0160458,1.400693951,10.10182646,7.7582981,None,94.49966088,High
149,Acetone,197.3091654,1.938152418,22.33487506,4.780639235,None,86.53693656,Low
150,Toluene,198.3079842,3.163135584,27.92613975,9.958798456,Fillers,85.3696235,Low
151,Dichloromethane,188.355309,0.825032067,14.86512379,4.419188159,None,90.34461495,High
152,Dichloromethane,194.7482868,1.163538542,9.496111171,3.909907563,Stabilizer,90.28558462,High
153,Acetone,194.7925302,0.829605218,12.12748748,6.543124386,Plasticizer,93.44046965,High
154,Dichloromethane,182.0942008,4.155427997,16.37629262,8.681009307,None,94.4885965,High
155,Acetone,210.7027051,3.885841549,12.26625823,3.540150975,Stabilizer,90.38545442,High
156,Ethyl Acetate,196.6601773,3.889908193,10.83947708,7.675222158,Stabilizer,94.29994182,High
157,Dichloromethane,212.8871955,3.723464046,23.39961222,2.491252665,Stabilizer,92.25159151,High
158,Ethyl Acetate,214.01392,3.512234407,5.196123031,9.351477945,Stabilizer,87.64559128,High
159,Acetone,188.4797622,2.646463619,18.48076318,2.648599329,Fillers,94.28420711,High
160,Toluene,206.2941393,3.390251736,24.84417018,9.313851011,Stabilizer,91.67443176,High
161,Dichloromethane,198.8912722,0.672626997,11.65570716,5.926457996,Stabilizer,89.14095933,High
162,Acetone,215.2062695,3.296589902,20.08228777,5.584728902,Fillers,91.80242085,High
163,Toluene,188.6296272,4.000449675,21.72250264,9.786456636,None,89.01312828,High
164,Toluene,207.112528,2.751612622,21.37561741,9.923073422,Plasticizer,86.14183768,Low
165,Ethyl Acetate,204.3100849,2.108809978,16.14624085,7.201425008,Fillers,92.18978747,High
166,Acetone,191.8120591,1.748420307,13.6644497,3.016954335,Fillers,93.24087612,High
167,Toluene,185.4640361,3.392609226,25.89810183,6.049360685,None,92.28806199,High
168,Dichloromethane,206.0655904,3.617605394,23.96114892,6.233304808,None,87.29114668,High
169,Dichloromethane,209.5438983,4.419354199,13.03137934,6.115571425,Stabilizer,94.56635013,High
170,Ethyl Acetate,192.6250938,2.040503371,7.575479861,6.555934708,None,85.25254562,Low
171,Toluene,205.7933042,3.963975383,6.795188636,2.14979771,Plasticizer,88.32685297,High
172,Acetone,195.8052363,3.026101209,7.356899447,7.689818252,Fillers,87.60092435,High
173,Dichloromethane,208.5282753,4.472764208,19.57173403,7.699154416,Plasticizer,85.48126228,Low
174,Toluene,187.968611,2.875154487,6.291554396,2.923758201,Stabilizer,89.05729693,High
175,Toluene,215.6086001,2.829334228,13.42317187,6.56191554,Plasticizer,91.2311484,High
176,Ethyl Acetate,191.4963839,3.100446866,23.82999255,6.546889459,Stabilizer,93.82552863,High
177,Dichloromethane,194.7114395,3.871919098,12.35870416,7.459603362,Plasticizer,94.89689716,High
178,Dichloromethane,182.3236781,4.841107155,24.08270193,2.683181537,Fillers,93.08089586,High
179,Acetone,184.4604885,0.831035094,23.63667596,7.012026458,Plasticizer,89.68680519,High
180,Dichloromethane,200.6344761,0.740455711,11.14567832,4.246015606,None,92.23704426,High
181,Acetone,190.7037071,4.718976518,23.2205545,6.056023924,Plasticizer,93.43623789,High
182,Dichloromethane,213.419209,2.884440315,23.69441596,8.186588422,Fillers,89.65307196,High
183,Ethyl Acetate,180.5877355,3.267063566,14.93634814,7.645167491,Stabilizer,92.85054434,High
184,Dichloromethane,195.1637619,2.670906207,10.26051209,2.951224141,Plasticizer,89.82652418,High
185,Acetone,193.4938219,0.921458537,18.03177017,6.729478297,Plasticizer,88.86495991,High
186,Acetone,180.7731052,3.956402203,28.0349397,9.752932248,None,90.26090838,High
187,Ethyl Acetate,184.974736,3.862510903,20.99041831,3.254155499,Stabilizer,91.75854738,High
188,Dichloromethane,196.545707,1.902664947,9.323062441,8.823256702,Stabilizer,92.26882056,High
